Adjustment Type,Asset ID,Asset Title,Asset Labels,Asset Channel ID,Asset Type,Custom ID,ISRC,UPC,GRid,Artist,Album,Label,Administer Publish Rights,Owned Views,YouTube Revenue Split : Auction,YouTube Revenue Split : Reserved,YouTube Revenue Split : Partner Sold YouTube Served,YouTube Revenue Split : Partner Sold Partner Served,YouTube Revenue Split,Partner Revenue : Auction,Partner Revenue : Reserved,Partner Revenue : Partner Sold YouTube Served,Partner Revenue : Partner Sold Partner Served,Partner Revenue
None,A865554402220953,Aprendiz,,,Sound Recording,886788073739_ARG991012364_4159190,,886788073739,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A865662717876090,Love Goes Down,,,Sound Recording,190374652278_ARG991020697_23180923,,190374652278,,,,,no,10,0,0,0,0,0,0,0,0,0,0
None,A872766766976006,Corcovado,,,Sound Recording,886788796218_ARG991013820_5033693,,886788796218,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A873354205677087,Todo Roto (En Vivo),,,Sound Recording,191018316877_ARG991022479_24412878,,191018316877,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A893057526947897, Tu barca │ EN VIVO │ VIDEO DEL RECUERDO,,,Music Video,,,191773769284,,Jambao,,,no,88,0,0,0,0,0,0,0,0,0,0
None,A895876036353554,Carita de Angel,,,Sound Recording,196292735666_ARG991034558_35764092,,196292735666,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A896855749787492,Fue cobardia,,,Sound Recording,196626381415_ARG991035044,ARG991035044,196626381415,,Junior Baila Conmigo,Fue cobardia,Magenta,no,1597,0,0,0,0,0,0,0,0,0,0
None,A914524637909949,Se parece mas a ti │ EN VIVO │ VIDEO DEL RECUERDO,,,Music Video,,,191773769284,,Jambao,,,no,211,0,0,0,0,0,0,0,0,0,0
None,A917144904222236,El Goloso,,,Sound Recording,196006957964_ARG991033963_35200127,,196006957964,,,,,no,21,0,0,0,0,0,0,0,0,0,0
None,A932114869049656,Walter Romero en Telemanías 2001,,,Sound Recording,196292791037_ARG991034543_35759553,,196292791037,,,,,no,1,0,0,0,0,0,0,0,0,0,0
None,A936644141102005,Eres Mentirosa,,,Sound Recording,191018230302_ARG991022250_24254349,,191018230302,,,,,no,2,0,0,0,0,0,0,0,0,0,0
